cn_code,cn_title,cn_definition,airs_soc_code,airs_title_en,airs_title_zh,match_status,reason,need_new_independent_entry
2-02-03-05,矿山环保复垦工程技术人员,定义：从事矿山环境保护、矿区生态恢复工程设计、施工组织、管理的工程技术人员。 主要工作：1.研究应用矿区环境保护管理与技术;2.监测、监察矿区环境;3.制订矿区环保管理制度、管理体系、应急预案;4.编制矿山污染物治理计划和减排规划;5.使用、管理及监测放射性同位素设备及危化品;6.编制并组织实施矿山排弃到位区域和矿井沉降区域填埋与复垦方案。,19-2041.00,"Environmental Scientists and Specialists, Including Health",环境科学家与专员（含卫生）,merged_match,AIRS 中没有完全同名独立条目，最合理的是并入“环境科学家与专员（含卫生）”（19-2041.00）；但该 SOC 的覆盖范围更宽。,true
2-02-12-01,发电工程技术人员,定义：从事发电厂规划设计，发电设备研发，指导发电设备运行、检修、改造的工程技术人员。 主要工作：1.研究、制订发电厂规划，编制投资概算;2.勘测、设计发电厂;3.研究、试验发电厂生产自动化技术;4.研究、应用发电设备检修技术;5.研究、分析发电设备的安全性和经济性;6.绘制发电厂系统设备的工作图，撰写设备操作说明书;7.进行发电设备运行技术督导;8.分析和处理设备安装、调试、运行、检修、维护、改造的技术问题，指导生产人员作业。,47-2111.00,Electricians,电工,merged_match,AIRS 中没有完全同名独立条目，最合理的是并入“电工”（47-2111.00）；但该 SOC 的覆盖范围更宽。,true
2-02-12-03,变电工程技术人员,定义：从事变电站规划、设计，变电设备研发，指导变电设备安装、运行、检修、试验的工程技术人员。 主要工作：1.规划变电站布局;2.勘测、设计变电站，编制投资概算;3.制订变电设备安装方案、施工进度计划;4.研究、应用变电系统及其设备自动化技术;5.研究、应用变电设备检修、试验技术;6.绘制变电系统及其设备工作图，撰写系统和设备操作说明书;7.进行变电设备运行技术督导;8.分析处理变电设备安装、调试、运行、检修、改造的技术问题，指导生产人员作业。,47-2111.00,Electricians,电工,merged_match,AIRS 中没有完全同名独立条目，最合理的是并入“电工”（47-2111.00）；但该 SOC 的覆盖范围更宽。,true
2-02-12-04,输电工程技术人员,定义：从事输电线路规划、设计，输电设备研发，指导输电设备安装、运行、检修、试验的工程技术人员。 主要工作：1.规划输电线路布局;2.勘测、设计输电线路，编制投资概算;3.制订输电设备安装方案、施工进度计划;4.研究、应用输电系统及其设备自动化技术;5.研究、应用输电设备检修、试验技术;6.进行输电网调度、运行分析;7.绘制输电设备的工作图，撰写设备操作说明书;8.进行输电设备运行技术督导;9.分析处理输电设备安装、调试、运行、检修、改造的技术问题，指导生产人员作业。,47-2111.00,Electricians,电工,merged_match,AIRS 中没有完全同名独立条目，最合理的是并入“电工”（47-2111.00）；但该 SOC 的覆盖范围更宽。,true
2-02-20-03,园林绿化工程技术人员,定义：从事园林绿地规划、园林植物种植设计和指导园林树木、花卉的繁育、栽培施工及养护的工程技术人员。 主要工作：1.进行园林绿化规划设计，园林植物种植和造景设计;2.指导园林植物的种植施工、养护管理;3.进行野生园林植物资源的调查、保护、开发和利用;4.指导建立园林植物的良种繁育及育种基地，研究、开发园林植物苗圃、温室、大棚等生产的使用管理技术;5.调查园林绿地的生态环境效益、社会效益，设计改善方案;6.进行园林绿化工程的施工与养护管理和技术指导;7.进行园林绿化工程概算、预算及结算编制。,37-3011.00,Landscaping and Groundskeeping Workers,园林绿化与场地养护从业人员,merged_match,AIRS 中没有完全同名独立条目，最合理的是并入“园林绿化与场地养护从业人员”（37-3011.00）；但该 SOC 的覆盖范围更宽。,true
2-02-27-07,碳管理工程技术人员,定义：从事二氧化碳等温室气体减排和负排放管理战略、规划、路径和技术的研究、开发、设计，评估实施效果的工程技术人员。 主要工作：1.跟踪分析全球气候变化政策、技术、产业、金融、市场等领域的发展变化，研究全球气候治理模式、机制;2.研究、设计碳达峰、碳中和管理战略、规划;3.研究、开发、设计碳减排管理技术、管理方法、实施方案及标准、规范;4.研究、开发、设计碳汇、碳捕集利用与封存等负排放技术、管理方法、实施方案及标准、规范;5.进行碳排放管理工程投融资和风险评估;6.评估优化管理方法、实施方案、运行效果。,19-2041.00,"Environmental Scientists and Specialists, Including Health",环境科学家与专员（含卫生）,merged_match,AIRS 中没有完全同名独立条目，最合理的是并入“环境科学家与专员（含卫生）”（19-2041.00）；但该 SOC 的覆盖范围更宽。,true
2-02-30-02,物流工程技术人员,定义：从事物流系统、项目、装备与技术研发、设计、应用、集成并组织实施的工程技术人员。 主要工作：1.规划、设计、运筹物流系统和物流中心;2.组织、管理、实施物流工程项目;3.研究、应用物流装备与技术;4.设计、实施企业物流流程改造与重组;5.开发、应用物流自动化、集成化与智能化信息系统。,13-1081.00,Logisticians,物流师,merged_match,AIRS 中没有完全同名独立条目，最合理的是并入“物流师”（13-1081.00）；但该 SOC 的覆盖范围更宽。,true
2-02-35-01,矫形器师,定义：从事人体体外矫形康复装置设计、制作、适配和使用指导的工程技术人员。 主要工作：1.检查肢体功能障碍者身体情况，阅识医生诊断说明，制订应用矫形器恢复功能、矫治畸形方案;2.运用人体生物力学原理和康复工程技术，设计矫形器的结构和制造工艺，选用材料;3.指导装配人员制作矫形器;4.指导功能障碍者使用矫形器，评估矫形器的矫治、保护、固定和补偿等适配效果;5.检验矫形器制作质量，优化矫形器设计方案;6.复查矫形器使用效果。,29-2091.00,Orthotists and Prosthetists,矫形器师与假肢师,merged_match,AIRS 中没有完全同名独立条目，最合理的是并入“矫形器师与假肢师”（29-2091.00）；但该 SOC 的覆盖范围更宽。,true
2-02-35-02,假肢师,定义：从事残肢功能评定、假肢设计，假肢制作、适配和使用指导的工程技术人员。 主要工作：1.检查肢体残缺状况，采集肢体缺失者身体状况、生活环境和功能代偿诉求信息;2.评估残肢运动功能状态;3.制订功能代偿、假肢适配和使用训练方案;4.运用人体生物力学原理，设计假肢;5.指导装配人员制作假肢;6.评定假肢适配效果，指导肢体缺失者穿戴假肢、进行使用训练;7.复查假肢使用效果。,29-2091.00,Orthotists and Prosthetists,矫形器师与假肢师,merged_match,AIRS 中没有完全同名独立条目，最合理的是并入“矫形器师与假肢师”（29-2091.00）；但该 SOC 的覆盖范围更宽。,true
2-05-01-12,康复科医师,定义：从事患者综合康复治疗，功能恢复、改善的专业人员。 主要工作：1.询问和检查患者，应用设备进行功能评测;2.分析、评估检查和功能测试的结果，制订康复治疗计划和康复目标，开具康复处方;3.指导并实施综合康复治疗，防控并发症及意外风险;4.进行出院患者康复效果评定，提出康复建议;5.进行患者恢复生活能力、工作能力等方面的技术指导和咨询服务;6.指导社区康复工作。,29-1024.00,Prosthodontists,口腔修复科医师,merged_match,AIRS 中没有完全同名独立条目，最合理的是并入“口腔修复科医师”（29-1024.00）；但该 SOC 的覆盖范围更宽。,true
